[[[  1.38600499e+02,   2.60748360e+02,   3.83037380e-01],
  [  1.48094680e+02,   1.94990473e+02,  -1.27312440e-01],
  [  1.52393629e+02,   1.32989434e+02,   5.52306277e-01],
  [  1.49819814e+02,   1.37691220e+02,  -1.11290196e+00],
  [  1.70497031e+02,   1.99078638e+02,  -2.00021240e-01],
  [  1.95461482e+02,   2.64164911e+02,   1.09653827e+00],
  [  1.51435258e+02,   1.35435377e+02,   1.64487748e-01],
  [  1.49663769e+02,   6.30990324e+01,  -3.67888640e-01],
  [  1.47453052e+02,   5.18147267e+01,  -3.52882327e-01],
  [  1.42109525e+02,   2.22965514e+01,  -2.74275464e-02],
  [  1.40250348e+02,   1.22416218e+02,   6.00472686e-01],
  [  1.51085967e+02,   9.72165499e+01,   1.39101796e+00],
  [  1.52027131e+02,   6.38262787e+01,   4.67118292e-01],
  [  1.47321414e+02,   6.23814963e+01,  -1.03268842e+00],
  [  1.57339976e+02,   1.01871833e+02,  -1.25894933e+00],
  [  1.53106000e+02,   1.27922065e+02,  -1.44089071e+00]]]
