[[[  1.34214140e+02,   2.02999601e+02,  -4.24294671e-02],
  [  1.57355927e+02,   1.69400990e+02,  -8.22338603e-01],
  [  1.52256430e+02,   1.51368332e+02,   3.85717066e-02],
  [  1.37613677e+02,   1.39505446e+02,  -1.87860875e-01],
  [  1.43021567e+02,   1.63183852e+02,  -3.11868828e-01],
  [  1.57876586e+02,   1.86753563e+02,   6.97026619e-01],
  [  1.44886480e+02,   1.45650053e+02,   4.59427065e-01],
  [  1.53110202e+02,   1.07725001e+02,  -1.17331705e-01],
  [  1.52680526e+02,   9.73295865e+01,  -3.97960375e-01],
  [  1.58913354e+02,   7.84780837e+01,  -6.14934996e-01],
  [  1.57854830e+02,   1.57183827e+02,  -7.64569380e-01],
  [  1.66680440e+02,   1.54803869e+02,  -6.19535496e-02],
  [  1.60343188e+02,   1.15792766e+02,  -2.83701529e-01],
  [  1.45898179e+02,   9.93702258e+01,  -3.63423332e-01],
  [  1.44964406e+02,   1.27870376e+02,  -2.29511927e-01],
  [  1.54436133e+02,   1.41771356e+02,   1.94703495e-01]]]
