[[[  1.28076942e+02,   1.87184598e+02,   1.23883009e-01],
  [  1.29864207e+02,   1.50546027e+02,  -9.00873656e-01],
  [  1.30694593e+02,   1.18676769e+02,  -1.81654702e-01],
  [  1.28014435e+02,   1.15086696e+02,  -3.52764551e-01],
  [  1.34162337e+02,   1.38687717e+02,  -3.76072592e-01],
  [  1.37273922e+02,   1.87911823e+02,   5.06166746e-01],
  [  1.28969546e+02,   1.16998417e+02,   2.03316381e-01],
  [  1.22893556e+02,   7.07700484e+01,   4.84485232e-02],
  [  1.22333027e+02,   6.17280533e+01,  -3.40043787e-02],
  [  1.21754237e+02,   4.31848953e+01,  -7.68758379e-03],
  [  1.10125731e+02,   9.96948662e+01,   5.54917864e-02],
  [  1.17089244e+02,   1.01353580e+02,   3.79708463e-01],
  [  1.24033720e+02,   7.38076077e+01,   1.69081881e-01],
  [  1.21865531e+02,   6.74123813e+01,   1.62208668e-01],
  [  1.17444776e+02,   8.93031649e+01,   3.19359403e-01],
  [  1.14401913e+02,   8.64255593e+01,  -3.94335026e-01]]]
