[[[  1.39654299e+02,   1.94749913e+02,   1.56381687e+00],
  [  1.62809859e+02,   1.98770315e+02,  -1.11906976e+00],
  [  1.52617994e+02,   1.68367448e+02,   6.61760617e-03],
  [  1.44376604e+02,   1.65758452e+02,   1.68483893e-02],
  [  1.48093442e+02,   1.97104610e+02,  -3.36146010e-01],
  [  1.51280748e+02,   1.99284227e+02,   2.02023106e+00],
  [  1.48580716e+02,   1.66897099e+02,   2.11912839e-01],
  [  1.50761100e+02,   1.11810908e+02,  -3.74688800e-03],
  [  1.48646335e+02,   1.02341805e+02,  -6.14589329e-01],
  [  1.50952290e+02,   7.70437700e+01,  -8.09312010e-01],
  [  1.72155832e+02,   1.53413277e+02,  -5.29900742e-01],
  [  1.69518037e+02,   1.51653277e+02,  -2.70235498e-01],
  [  1.53552987e+02,   1.14088874e+02,  -3.09105909e-01],
  [  1.47428558e+02,   1.09696344e+02,  -3.29008354e-01],
  [  1.48079304e+02,   1.53954490e+02,   3.15222192e-01],
  [  1.57289925e+02,   1.65878619e+02,  -4.37599208e-02]]]
