[[[  2.38177970e+02,   2.03800498e+02,  -1.77312587e+00],
  [  1.59975714e+02,   1.99505890e+02,  -6.78894287e-01],
  [  1.66187500e+02,   1.50544423e+02,   5.00102592e-01],
  [  1.57345223e+02,   1.44596323e+02,  -4.60141892e-01],
  [  1.25519644e+02,   1.67597773e+02,  -1.36455414e+00],
  [  1.75870787e+02,   2.10987896e+02,  -2.12797307e+00],
  [  1.62106273e+02,   1.47691590e+02,   4.10235572e-01],
  [  1.12587460e+02,   9.44367966e+01,   3.65200391e-01],
  [  1.08619976e+02,   8.47197152e+01,   2.50576027e-01],
  [  9.48835389e+01,   6.16490505e+01,   6.40484731e-01],
  [  1.32526461e+02,   1.69537178e+02,   3.11681864e-01],
  [  1.39684763e+02,   1.51365089e+02,   6.29768986e-01],
  [  1.21725106e+02,   9.78870992e+01,   5.87079043e-01],
  [  1.02911721e+02,   9.11082211e+01,  -1.32580534e-01],
  [  9.63221325e+01,   1.46030610e+02,  -9.27703368e-01],
  [  8.06149977e+01,   1.72852531e+02,  -8.82482892e-01]]]
