[[[  1.28897835e+02,   2.14876765e+02,   1.32669911e+00],
  [  1.38155291e+02,   1.74567431e+02,  -7.65152574e-03],
  [  1.50493902e+02,   1.62538198e+02,   2.73284327e-01],
  [  1.36771228e+02,   1.64435362e+02,  -4.27672960e-01],
  [  1.35797525e+02,   1.72959291e+02,  -1.72604590e-01],
  [  1.48773039e+02,   2.24890445e+02,   9.63636733e-01],
  [  1.43514969e+02,   1.63648446e+02,   1.45107260e-01],
  [  1.46857361e+02,   7.92269341e+01,  -2.48615596e-01],
  [  1.46437832e+02,   6.87343993e+01,  -5.13030715e-01],
  [  1.50954294e+02,   3.61129657e+01,  -3.39632337e-01],
  [  1.39973151e+02,   8.11629221e+01,  -1.41855429e-01],
  [  1.52494236e+02,   1.05173047e+02,   5.83005743e-01],
  [  1.53110568e+02,   8.03858126e+01,  -5.40458125e-02],
  [  1.40440186e+02,   7.83936723e+01,  -5.96540758e-01],
  [  1.37345459e+02,   9.95452025e+01,  -6.88504610e-02],
  [  1.47167636e+02,   7.83825064e+01,  -8.67808932e-01]]]
