[[[  1.14936222e+02,   1.94202093e+02,  -1.05881358e+00],
  [  1.30363781e+02,   1.44750144e+02,  -2.15580934e+00],
  [  1.41435018e+02,   1.38108195e+02,   2.23081813e-01],
  [  1.57152709e+02,   1.37492952e+02,  -8.30594706e-01],
  [  1.40919450e+02,   1.48178620e+02,  -2.12697230e+00],
  [  1.23355090e+02,   1.89328459e+02,  -1.01007072e+00],
  [  1.49685107e+02,   1.38114262e+02,  -3.23733732e-02],
  [  1.74392960e+02,   1.14215055e+02,  -3.87525587e-02],
  [  1.74592953e+02,   1.05554633e+02,  -3.03232430e-01],
  [  1.81769996e+02,   9.03018848e+01,  -5.21586041e-02],
  [  1.54280525e+02,   1.22670507e+02,  -8.29418852e-01],
  [  1.49294116e+02,   1.32936908e+02,   8.66318805e-01],
  [  1.67037297e+02,   1.16170429e+02,   4.49415183e-01],
  [  1.81179674e+02,   1.12811537e+02,  -6.59559135e-01],
  [  1.87172465e+02,   1.41645428e+02,  -9.83105835e-01],
  [  1.75320126e+02,   1.44045958e+02,  -1.27213153e+00]]]
